Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.8624		0.6834		0.0000		0.2970		0.00050150
2		0.5866		0.5937		0.0000		0.3165		0.00050000
3		0.5128		0.5637		0.0000		0.3559		0.00049850
4		0.4664		0.5477		0.0000		0.3632		0.00049700
5		0.4303		0.4945		0.0000		0.3929		0.00049550
6		0.4070		0.4663		0.0000		0.4017		0.00049400
7		0.3851		0.5100		0.0000		0.3963		0.00049249
8		0.3727		0.4578		0.0000		0.4250		0.00049099
9		0.3576		0.4140		0.0000		0.4540		0.00048949
10		0.3480		0.4144		0.0000		0.4465		0.00048798
11		0.3385		0.4013		0.0000		0.4627		0.00048648
12		0.3286		0.3990		0.0000		0.4524		0.00048497
13		0.3205		0.4390		0.0000		0.4481		0.00048347
14		0.3099		0.3568		0.0000		0.4899		0.00048196
15		0.3114		0.3999		0.0000		0.4501		0.00048046
16		0.2980		0.3749		0.0000		0.4914		0.00047895
17		0.2962		0.3558		0.0000		0.5100		0.00047744
18		0.2874		0.3615		0.0000		0.4953		0.00047593
19		0.2851		0.3648		0.0000		0.4950		0.00047443
20		0.2838		0.3561		0.0000		0.4941		0.00047292
21		0.2775		0.3304		0.0000		0.5158		0.00047141
22		0.2681		0.3663		0.0000		0.5109		0.00046990
23		0.2668		0.3586		0.0000		0.5112		0.00046839
24		0.2624		0.3284		0.0000		0.5269		0.00046688
25		0.2613		0.3158		0.0000		0.5415		0.00046536
26		0.2541		0.3293		0.0000		0.5323		0.00046385
27		0.2599		0.3354		0.0000		0.5356		0.00046234
28		0.2515		0.3273		0.0000		0.5436		0.00046083
29		0.2531		0.3365		0.0000		0.5338		0.00045931
30		0.2501		0.3159		0.0000		0.5429		0.00045780
31		0.2411		0.3154		0.0000		0.5466		0.00045628
32		0.2486		0.4091		0.0000		0.5233		0.00045477
33		0.2405		0.3189		0.0000		0.5465		0.00045325
34		0.2391		0.3021		0.0000		0.5507		0.00045173
35		0.2323		0.3028		0.0000		0.5438		0.00045022
36		0.2295		0.3008		0.0000		0.5500		0.00044870
37		0.2374		0.2863		0.0000		0.5802		0.00044718
38		0.2301		0.3166		0.0000		0.5614		0.00044566
39		0.2294		0.3044		0.0000		0.5719		0.00044414
40		0.2335		0.3094		0.0000		0.5493		0.00044262
41		0.2207		0.2869		0.0000		0.5693		0.00044110
42		0.2273		0.3243		0.0000		0.5487		0.00043958
43		0.2181		0.3054		0.0000		0.5459		0.00043806
44		0.2208		0.2865		0.0000		0.5865		0.00043653
45		0.2179		0.3011		0.0000		0.5688		0.00043501
46		0.2239		0.2991		0.0000		0.5764		0.00043349
47		0.2189		0.3050		0.0000		0.5642		0.00043196
48		0.2098		0.3050		0.0000		0.5626		0.00043044
49		0.2166		0.2861		0.0000		0.5725		0.00042891
50		0.2142		0.2903		0.0000		0.5818		0.00042739
51		0.2070		0.5798		0.0000		0.5216		0.00042586
52		0.2160		0.2908		0.0000		0.5916		0.00042433
53		0.2062		0.2846		0.0000		0.6007		0.00042281
54		0.2173		0.2866		0.0000		0.5796		0.00042128
55		0.2042		0.2840		0.0000		0.5841		0.00041975
56		0.2039		0.2950		0.0000		0.5749		0.00041822
57		0.2085		0.3087		0.0000		0.5496		0.00041669
58		0.2001		0.2897		0.0000		0.5795		0.00041516
59		0.2075		0.2609		0.0000		0.6211		0.00041362
60		0.1973		0.3301		0.0000		0.5664		0.00041209
61		0.1994		0.2822		0.0000		0.5892		0.00041056
62		0.1988		0.2638		0.0000		0.5908		0.00040903
