Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.6801		0.5525		0.0000		0.4872		0.00050150
2		0.3779		0.4130		0.0000		0.5334		0.00050000
3		0.3171		0.3874		0.0000		0.5324		0.00049850
4		0.2926		0.3700		0.0000		0.5518		0.00049700
5		0.2795		0.4123		0.0000		0.5069		0.00049550
6		0.2812		0.3633		0.0000		0.5583		0.00049400
7		0.2725		0.3537		0.0000		0.5593		0.00049249
8		0.2553		0.3326		0.0000		0.5817		0.00049099
9		0.2489		0.3830		0.0000		0.5433		0.00048949
10		0.2406		0.3718		0.0000		0.5513		0.00048798
11		0.2467		0.3387		0.0000		0.5716		0.00048648
12		0.2456		0.3571		0.0000		0.5638		0.00048497
13		0.2358		0.3573		0.0000		0.5451		0.00048347
14		0.2406		0.3926		0.0000		0.5112		0.00048196
15		0.2269		0.3262		0.0000		0.5861		0.00048046
16		0.2451		0.3373		0.0000		0.5699		0.00047895
17		0.2249		0.3357		0.0000		0.5892		0.00047744
18		0.2391		0.3132		0.0000		0.6083		0.00047593
19		0.2198		0.3122		0.0000		0.6108		0.00047443
20		0.2211		0.3027		0.0000		0.6218		0.00047292
21		0.2183		0.3708		0.0000		0.5600		0.00047141
22		0.2366		0.3259		0.0000		0.5755		0.00046990
23		0.2093		0.3573		0.0000		0.5757		0.00046839
24		0.2125		0.3026		0.0000		0.6069		0.00046688
25		0.2205		0.3334		0.0000		0.5725		0.00046536
26		0.2222		0.3815		0.0000		0.5623		0.00046385
27		0.2079		0.3607		0.0000		0.5578		0.00046234
28		0.2136		0.3510		0.0000		0.5685		0.00046083
29		0.2121		0.3796		0.0000		0.5628		0.00045931
30		0.2105		0.3075		0.0000		0.6176		0.00045780
31		0.1997		0.3023		0.0000		0.6275		0.00045628
32		0.2229		0.3671		0.0000		0.5489		0.00045477
33		0.2096		0.3306		0.0000		0.5993		0.00045325
34		0.2125		0.3062		0.0000		0.6227		0.00045173
35		0.2126		0.2969		0.0000		0.6266		0.00045022
36		0.2004		0.3487		0.0000		0.6096		0.00044870
37		0.1961		0.3055		0.0000		0.6093		0.00044718
38		0.2001		0.3092		0.0000		0.6084		0.00044566
39		0.2269		0.3196		0.0000		0.6057		0.00044414
40		0.2021		0.2881		0.0000		0.6436		0.00044262
41		0.2015		0.3228		0.0000		0.6023		0.00044110
42		0.2075		0.2968		0.0000		0.6309		0.00043958
43		0.2101		0.3147		0.0000		0.6164		0.00050150
44		0.2150		0.3044		0.0000		0.6149		0.00050000
45		0.2073		0.3089		0.0000		0.6070		0.00049850
46		0.2095		0.4001		0.0000		0.5304		0.00049700
47		0.2240		0.2953		0.0000		0.6240		0.00049550
48		0.1953		0.3091		0.0000		0.6098		0.00049400
49		0.2265		0.3845		0.0000		0.5478		0.00049249
50		0.2100		0.3480		0.0000		0.5714		0.00049099
51		0.1955		0.3360		0.0000		0.6090		0.00048949
52		0.2222		0.3637		0.0000		0.5668		0.00048798
53		0.1975		0.3038		0.0000		0.6130		0.00048648
54		0.2025		0.3321		0.0000		0.5962		0.00048497
55		0.2099		0.3006		0.0000		0.6294		0.00048347
56		0.2032		0.3327		0.0000		0.5889		0.00048196
57		0.2024		0.3002		0.0000		0.6252		0.00048046
58		0.1951		0.3034		0.0000		0.6187		0.00047895
59		0.2137		0.3009		0.0000		0.6300		0.00047744
60		0.1995		0.2983		0.0000		0.6300		0.00047593
61		0.1887		0.2920		0.0000		0.6439		0.00047443
62		0.2210		0.3037		0.0000		0.5945		0.00047292
63		0.2012		0.3110		0.0000		0.6053		0.00047141
64		0.1995		0.4674		0.0000		0.5403		0.00046990
65		0.2128		0.2851		0.0000		0.6203		0.00046839
66		0.1876		0.3448		0.0000		0.5796		0.00046688
67		0.2027		0.3192		0.0000		0.6197		0.00046536
68		0.2018		0.3048		0.0000		0.6123		0.00046385
69		0.2029		0.3050		0.0000		0.6172		0.00046234
70		0.1984		0.3152		0.0000		0.6036		0.00046083
71		0.2028		0.3212		0.0000		0.5984		0.00045931
72		0.1964		0.3191		0.0000		0.6049		0.00045780
73		0.1896		0.3352		0.0000		0.5971		0.00045628
74		0.1977		0.3147		0.0000		0.6099		0.00045477
75		0.1891		0.4042		0.0000		0.5257		0.00045325
76		0.2037		0.2884		0.0000		0.6292		0.00045173
77		0.1920		0.3248		0.0000		0.5973		0.00045022
78		0.2124		0.3040		0.0000		0.6020		0.00044870
79		0.1787		0.3456		0.0000		0.5844		0.00044718
80		0.2168		0.3221		0.0000		0.6033		0.00044566
81		0.1850		0.2915		0.0000		0.6394		0.00044414
82		0.1943		0.3055		0.0000		0.6126		0.00044262
83		0.1936		0.3279		0.0000		0.5975		0.00044110
84		0.1973		0.2989		0.0000		0.6263		0.00043958
85		0.1792		0.3034		0.0000		0.6093		0.00043806
86		0.1933		0.3257		0.0000		0.6117		0.00043653
87		0.2006		0.3217		0.0000		0.5972		0.00043501
88		0.1911		0.2931		0.0000		0.6294		0.00043349
89		0.1778		0.3187		0.0000		0.6162		0.00043196
90		0.1903		0.2952		0.0000		0.6206		0.00043044
91		0.1942		0.3265		0.0000		0.5883		0.00042891
92		0.1995		0.2949		0.0000		0.6285		0.00042739
93		0.1780		0.3029		0.0000		0.6310		0.00042586
94		0.2045		0.3394		0.0000		0.5657		0.00042433
95		0.2017		0.3223		0.0000		0.5948		0.00042281
96		0.1832		0.2990		0.0000		0.6318		0.00042128
97		0.1772		0.2902		0.0000		0.6456		0.00041975
98		0.1896		0.3363		0.0000		0.5681		0.00041822
99		0.1913		0.3020		0.0000		0.6132		0.00041669
100		0.1927		0.3357		0.0000		0.5822		0.00041516
101		0.1858		0.2775		0.0000		0.6339		0.00041362
102		0.1940		0.2971		0.0000		0.6168		0.00041209
103		0.1823		0.2839		0.0000		0.6482		0.00041056
104		0.1822		0.2992		0.0000		0.6147		0.00040903
105		0.1900		0.2790		0.0000		0.6456		0.00040749
106		0.1773		0.2907		0.0000		0.6229		0.00040596
107		0.1956		0.3308		0.0000		0.6187		0.00040442
108		0.1762		0.3057		0.0000		0.6287		0.00040289
109		0.1799		0.3134		0.0000		0.6218		0.00040135
110		0.1848		0.3061		0.0000		0.6267		0.00039981
111		0.1969		0.2964		0.0000		0.6320		0.00039827
112		0.1750		0.2952		0.0000		0.6250		0.00039673
113		0.1828		0.3137		0.0000		0.6292		0.00039520
114		0.1997		0.3351		0.0000		0.5697		0.00039366
115		0.1866		0.2813		0.0000		0.6505		0.00039211
116		0.1735		0.2868		0.0000		0.6364		0.00039057
117		0.1769		0.3371		0.0000		0.5822		0.00038903
118		0.1853		0.3017		0.0000		0.6076		0.00038749
119		0.1804		0.2832		0.0000		0.6373		0.00038594
120		0.1931		0.3316		0.0000		0.5830		0.00038440
121		0.1872		0.2770		0.0000		0.6431		0.00038286
122		0.1683		0.2959		0.0000		0.6492		0.00038131
123		0.1735		0.3546		0.0000		0.5838		0.00037976
124		0.2008		0.3864		0.0000		0.5426		0.00037822
125		0.1820		0.2836		0.0000		0.6608		0.00037667
126		0.1715		0.2815		0.0000		0.6418		0.00037512
127		0.1861		0.2875		0.0000		0.6437		0.00037357
128		0.1809		0.3129		0.0000		0.5896		0.00037202
129		0.1818		0.2931		0.0000		0.6379		0.00037047
130		0.1721		0.4921		0.0000		0.5907		0.00036892
131		0.1808		0.3014		0.0000		0.6314		0.00036737
132		0.1693		0.3797		0.0000		0.5457		0.00036582
133		0.1749		0.3325		0.0000		0.6116		0.00036426
134		0.1865		0.3003		0.0000		0.6346		0.00036271
135		0.1776		0.3027		0.0000		0.6425		0.00036115
136		0.1716		0.2985		0.0000		0.6109		0.00035960
137		0.1686		0.3200		0.0000		0.6083		0.00035804
138		0.1786		0.3179		0.0000		0.6061		0.00035649
139		0.1856		0.3790		0.0000		0.5899		0.00035493
140		0.1772		0.2762		0.0000		0.6490		0.00035337
141		0.1615		0.3088		0.0000		0.6419		0.00035181
142		0.1857		0.2867		0.0000		0.6324		0.00035025
143		0.1733		0.2988		0.0000		0.6287		0.00034869
144		0.1790		0.4559		0.0000		0.5130		0.00034713
145		0.1741		0.2825		0.0000		0.6436		0.00034556
146		0.1635		0.3028		0.0000		0.6299		0.00034400
147		0.1715		0.3257		0.0000		0.5857		0.00034244
148		0.1807		0.3169		0.0000		0.6028		0.00034087
149		0.1706		0.2922		0.0000		0.6263		0.00033931
150		0.1614		0.2897		0.0000		0.6337		0.00033774
151		0.1884		0.3150		0.0000		0.5933		0.00033617
152		0.1716		0.3028		0.0000		0.6232		0.00033460
153		0.1612		0.2817		0.0000		0.6417		0.00033304
154		0.1753		0.2988		0.0000		0.6369		0.00033147
155		0.1711		0.2793		0.0000		0.6529		0.00032990
156		0.1619		0.3132		0.0000		0.6449		0.00032832
157		0.1904		0.3256		0.0000		0.5991		0.00032675
158		0.1686		0.2782		0.0000		0.6442		0.00032518
159		0.1631		0.2862		0.0000		0.6382		0.00032361
160		0.1636		0.2871		0.0000		0.6365		0.00032203
161		0.1667		0.3718		0.0000		0.5662		0.00032045
162		0.1909		0.2792		0.0000		0.6483		0.00031888
163		0.1561		0.3058		0.0000		0.6231		0.00031730
164		0.1694		0.2962		0.0000		0.6352		0.00031572
165		0.1619		0.2874		0.0000		0.6349		0.00031414
166		0.1662		0.2810		0.0000		0.6533		0.00031256
167		0.1670		0.3041		0.0000		0.6091		0.00031098
168		0.1748		0.2980		0.0000		0.6189		0.00030940
