Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
111		0.1639		0.2845		0.0000		0.6529		0.00015559
112		0.1618		0.2581		0.0000		0.6839		0.00015217
113		0.1596		0.2534		0.0000		0.6908		0.00014875
114		0.1613		0.2622		0.0000		0.6687		0.00014531
115		0.1678		0.2558		0.0000		0.6732		0.00014186
116		0.1568		0.2541		0.0000		0.6817		0.00013841
117		0.1576		0.2624		0.0000		0.6734		0.00013494
118		0.1597		0.2690		0.0000		0.6748		0.00013147
119		0.1558		0.3340		0.0000		0.6071		0.00012798
120		0.1594		0.2758		0.0000		0.6647		0.00012449
121		0.1550		0.2530		0.0000		0.6689		0.00012098
122		0.1549		0.2584		0.0000		0.6779		0.00011746
123		0.1517		0.2594		0.0000		0.6807		0.00011393
124		0.1521		0.2605		0.0000		0.6743		0.00011039
125		0.1530		0.2576		0.0000		0.6872		0.00010684
126		0.1510		0.2586		0.0000		0.6905		0.00010327
127		0.1502		0.2602		0.0000		0.6911		0.00009969
128		0.1512		0.2619		0.0000		0.6684		0.00009609
129		0.1484		0.2561		0.0000		0.6745		0.00009248
130		0.1504		0.2562		0.0000		0.6792		0.00008885
131		0.1492		0.2562		0.0000		0.6856		0.00008521
132		0.1472		0.2572		0.0000		0.6947		0.00008155
133		0.1463		0.2577		0.0000		0.6929		0.00007787
134		0.1462		0.2483		0.0000		0.6963		0.00007417
135		0.1458		0.2482		0.0000		0.6867		0.00007045
136		0.1438		0.2617		0.0000		0.6736		0.00006671
137		0.1439		0.2549		0.0000		0.6833		0.00006295
138		0.1441		0.2613		0.0000		0.6681		0.00005916
139		0.1449		0.2595		0.0000		0.6911		0.00005534
140		0.1417		0.2508		0.0000		0.6900		0.00005149
141		0.1409		0.2527		0.0000		0.6901		0.00004761
142		0.1403		0.2544		0.0000		0.6900		0.00004370
143		0.1403		0.2552		0.0000		0.6958		0.00003975
144		0.1397		0.2593		0.0000		0.6981		0.00003575
145		0.1391		0.2529		0.0000		0.6934		0.00003170
146		0.1385		0.2536		0.0000		0.6968		0.00002759
147		0.1380		0.2549		0.0000		0.6981		0.00002342
148		0.1374		0.2541		0.0000		0.6906		0.00001916
149		0.1366		0.2535		0.0000		0.6968		0.00001479
150		0.1364		0.2571		0.0000		0.6979		0.00001027
