Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.7942		0.6477		0.0000		0.3090		0.00050150
2		0.5452		0.5967		0.0000		0.3376		0.00050000
3		0.4733		0.5531		0.0000		0.3653		0.00049850
4		0.4241		0.4608		0.0000		0.4026		0.00049700
5		0.4010		0.4910		0.0000		0.3917		0.00049550
6		0.3733		0.4096		0.0000		0.4383		0.00049400
7		0.3569		0.4314		0.0000		0.4361		0.00049249
8		0.3413		0.3957		0.0000		0.4671		0.00049099
9		0.3278		0.4228		0.0000		0.4500		0.00048949
10		0.3153		0.3701		0.0000		0.4795		0.00048798
11		0.3095		0.3800		0.0000		0.4725		0.00048648
12		0.3014		0.3488		0.0000		0.5157		0.00048497
13		0.2891		0.3886		0.0000		0.4576		0.00048347
14		0.2833		0.3669		0.0000		0.5045		0.00048196
15		0.2790		0.3566		0.0000		0.4966		0.00048046
16		0.2734		0.3534		0.0000		0.5011		0.00047895
17		0.2654		0.4018		0.0000		0.4665		0.00047744
18		0.2659		0.3349		0.0000		0.5182		0.00047593
19		0.2560		0.3316		0.0000		0.5164		0.00047443
20		0.2550		0.3542		0.0000		0.5080		0.00047292
21		0.2506		0.3508		0.0000		0.5161		0.00047141
22		0.2433		0.3119		0.0000		0.5313		0.00046990
23		0.2457		0.3091		0.0000		0.5406		0.00046839
24		0.2378		0.3218		0.0000		0.5364		0.00046688
25		0.2354		0.3070		0.0000		0.5463		0.00046536
26		0.2295		0.3129		0.0000		0.5570		0.00046385
27		0.2310		0.2982		0.0000		0.5724		0.00046234
28		0.2279		0.3271		0.0000		0.5334		0.00046083
29		0.2228		0.3080		0.0000		0.5473		0.00045931
30		0.2265		0.3424		0.0000		0.5120		0.00045780
31		0.2281		0.3158		0.0000		0.5529		0.00045628
32		0.2152		0.3143		0.0000		0.5542		0.00045477
33		0.2155		0.2945		0.0000		0.5719		0.00045325
34		0.2193		0.3169		0.0000		0.5459		0.00045173
35		0.2106		0.3157		0.0000		0.5535		0.00045022
36		0.2119		0.2913		0.0000		0.5771		0.00044870
37		0.2109		0.2802		0.0000		0.5901		0.00044718
38		0.2121		0.2869		0.0000		0.5803		0.00044566
39		0.2020		0.3001		0.0000		0.5647		0.00044414
40		0.2024		0.2980		0.0000		0.5727		0.00044262
41		0.1997		0.2843		0.0000		0.5861		0.00044110
42		0.2069		0.2958		0.0000		0.5662		0.00043958
43		0.1980		0.2835		0.0000		0.5695		0.00043806
44		0.1971		0.3293		0.0000		0.5463		0.00043653
45		0.2011		0.2757		0.0000		0.5878		0.00043501
46		0.2011		0.3109		0.0000		0.5568		0.00043349
47		0.1953		0.2911		0.0000		0.5711		0.00043196
48		0.1886		0.2970		0.0000		0.5749		0.00043044
49		0.1909		0.3121		0.0000		0.5754		0.00042891
50		0.1916		0.2768		0.0000		0.5935		0.00042739
51		0.1911		0.2914		0.0000		0.5752		0.00042586
52		0.1957		0.3778		0.0000		0.4966		0.00042433
53		0.1860		0.2877		0.0000		0.5948		0.00042281
54		0.1811		0.2901		0.0000		0.5843		0.00042128
55		0.1980		0.2812		0.0000		0.5958		0.00041975
56		0.1820		0.2938		0.0000		0.5937		0.00041822
57		0.1832		0.3168		0.0000		0.5577		0.00041669
58		0.1914		0.2639		0.0000		0.6079		0.00041516
59		0.1742		0.2922		0.0000		0.5968		0.00041362
60		0.1751		0.3145		0.0000		0.5746		0.00041209
61		0.1987		0.2806		0.0000		0.5845		0.00041056
62		0.1748		0.2744		0.0000		0.6051		0.00040903
63		0.1768		0.2824		0.0000		0.5930		0.00040749
64		0.1706		0.3003		0.0000		0.5786		0.00040596
65		0.1774		0.2997		0.0000		0.5699		0.00040442
66		0.1780		0.2671		0.0000		0.5921		0.00040289
67		0.1742		0.2632		0.0000		0.6090		0.00040135
68		0.1800		0.2892		0.0000		0.6001		0.00039981
69		0.1824		0.2720		0.0000		0.5946		0.00039827
70		0.1691		0.2765		0.0000		0.6010		0.00039673
71		0.1747		0.2635		0.0000		0.6245		0.00039520
72		0.1676		0.2578		0.0000		0.6185		0.00039366
73		0.1692		0.3091		0.0000		0.5517		0.00039211
74		0.1712		0.2795		0.0000		0.6052		0.00039057
75		0.1798		0.3326		0.0000		0.5391		0.00038903
76		0.1780		0.3009		0.0000		0.5791		0.00038749
77		0.1612		0.2552		0.0000		0.6312		0.00038594
78		0.1630		0.2770		0.0000		0.6189		0.00038440
79		0.1652		0.2780		0.0000		0.6073		0.00038286
80		0.1731		0.2697		0.0000		0.6248		0.00038131
81		0.1674		0.2680		0.0000		0.6201		0.00037976
82		0.1613		0.2666		0.0000		0.6164		0.00037822
83		0.1578		0.2496		0.0000		0.6351		0.00037667
84		0.1689		0.2900		0.0000		0.5968		0.00037512
85		0.1702		0.2534		0.0000		0.6366		0.00037357
86		0.1648		0.3101		0.0000		0.5517		0.00037202
87		0.1698		0.2547		0.0000		0.6345		0.00037047
88		0.1557		0.2664		0.0000		0.6080		0.00036892
89		0.1561		0.2738		0.0000		0.6118		0.00036737
90		0.1729		0.2587		0.0000		0.6119		0.00036582
91		0.1566		0.2754		0.0000		0.6284		0.00036426
92		0.1608		0.2569		0.0000		0.6265		0.00036271
93		0.1623		0.2460		0.0000		0.6434		0.00036115
94		0.1563		0.3130		0.0000		0.5394		0.00035960
95		0.1672		0.2734		0.0000		0.6067		0.00035804
96		0.1512		0.2636		0.0000		0.6227		0.00035649
97		0.1516		0.2866		0.0000		0.5910		0.00035493
98		0.1564		0.2968		0.0000		0.5858		0.00035337
99		0.1549		0.2883		0.0000		0.6008		0.00035181
100		0.1732		0.2690		0.0000		0.6041		0.00035025
101		0.1471		0.2561		0.0000		0.6312		0.00034869
