Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
113		0.1490		0.2449		0.0000		0.6372		0.00035960
114		0.1515		0.2564		0.0000		0.6172		0.00035804
115		0.1511		0.2982		0.0000		0.5721		0.00035649
116		0.1690		0.2453		0.0000		0.6465		0.00035493
117		0.1461		0.2662		0.0000		0.6194		0.00035337
118		0.1553		0.2757		0.0000		0.6071		0.00035181
119		0.1551		0.2512		0.0000		0.6375		0.00035025
120		0.1577		0.2460		0.0000		0.6451		0.00034869
121		0.1457		0.2621		0.0000		0.6308		0.00034713
122		0.1457		0.2895		0.0000		0.5968		0.00034556
123		0.1594		0.2820		0.0000		0.5851		0.00034400
124		0.1466		0.2473		0.0000		0.6480		0.00034244
125		0.1528		0.3337		0.0000		0.5669		0.00034087
126		0.1471		0.2590		0.0000		0.6316		0.00033931
127		0.1557		0.3075		0.0000		0.5719		0.00033774
128		0.1470		0.2598		0.0000		0.6287		0.00033617
129		0.1415		0.2589		0.0000		0.6283		0.00033460
130		0.1515		0.2536		0.0000		0.6435		0.00033304
131		0.1472		0.2715		0.0000		0.6178		0.00033147
132		0.1403		0.2581		0.0000		0.6404		0.00032990
133		0.1453		0.5048		0.0000		0.5223		0.00032832
134		0.1712		0.2588		0.0000		0.6291		0.00032675
135		0.1471		0.2334		0.0000		0.6617		0.00032518
136		0.1365		0.2498		0.0000		0.6416		0.00032361
137		0.1417		0.2499		0.0000		0.6416		0.00032203
138		0.1452		0.2622		0.0000		0.6137		0.00032045
139		0.1412		0.2618		0.0000		0.6368		0.00031888
140		0.1489		0.2878		0.0000		0.5868		0.00031730
141		0.1598		0.2607		0.0000		0.6152		0.00031572
142		0.1396		0.2588		0.0000		0.6350		0.00031414
143		0.1334		0.2920		0.0000		0.5964		0.00031256
144		0.1564		0.2416		0.0000		0.6512		0.00031098
145		0.1368		0.2639		0.0000		0.6144		0.00030940
146		0.1388		0.2585		0.0000		0.6402		0.00030782
147		0.1409		0.2466		0.0000		0.6495		0.00030624
148		0.1469		0.2430		0.0000		0.6442		0.00030465
149		0.1345		0.2960		0.0000		0.6283		0.00030307
150		0.1453		0.3275		0.0000		0.5619		0.00030148
151		0.1400		0.3077		0.0000		0.5800		0.00029989
152		0.1340		0.2472		0.0000		0.6347		0.00029830
153		0.1413		0.2483		0.0000		0.6485		0.00029671
154		0.1534		0.2366		0.0000		0.6578		0.00029512
155		0.1340		0.2593		0.0000		0.6242		0.00029353
156		0.1382		0.2589		0.0000		0.6124		0.00029194
157		0.1407		0.2394		0.0000		0.6554		0.00029035
158		0.1451		0.2746		0.0000		0.6058		0.00028876
159		0.1460		0.2788		0.0000		0.6079		0.00028716
160		0.1364		0.2638		0.0000		0.6329		0.00028556
161		0.1319		0.2506		0.0000		0.6421		0.00028397
162		0.1339		0.2714		0.0000		0.5959		0.00028237
163		0.1339		0.2597		0.0000		0.6392		0.00028077
164		0.1466		0.2567		0.0000		0.6354		0.00027917
165		0.1320		0.2479		0.0000		0.6448		0.00027757
166		0.1278		0.2599		0.0000		0.6261		0.00027597
167		0.1392		0.2702		0.0000		0.6254		0.00027437
