Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.0828		0.7630		0.0000		0.3221		0.00050150
2		0.6274		0.6887		0.0000		0.3732		0.00050000
3		0.5143		0.5343		0.0000		0.4146		0.00049850
4		0.4591		0.5864		0.0000		0.4091		0.00049700
5		0.4254		0.4784		0.0000		0.4522		0.00049550
6		0.3975		0.4883		0.0000		0.4486		0.00049400
7		0.3810		0.4355		0.0000		0.4747		0.00049249
8		0.3697		0.4285		0.0000		0.4938		0.00049099
9		0.3583		0.8702		0.0000		0.3952		0.00048949
10		0.3384		0.4239		0.0000		0.4915		0.00048798
11		0.3413		0.4223		0.0000		0.4989		0.00048648
12		0.3285		0.3855		0.0000		0.5224		0.00048497
13		0.3248		0.4319		0.0000		0.4799		0.00048347
14		0.3196		0.4672		0.0000		0.4777		0.00048196
15		0.3067		0.3945		0.0000		0.5156		0.00048046
16		0.3069		0.3911		0.0000		0.5122		0.00047895
17		0.2966		0.4064		0.0000		0.5057		0.00047744
18		0.3056		0.3770		0.0000		0.5208		0.00047593
19		0.2846		0.3575		0.0000		0.5533		0.00047443
20		0.2854		0.3807		0.0000		0.5086		0.00047292
21		0.2796		0.3800		0.0000		0.5357		0.00047141
22		0.2852		0.3861		0.0000		0.5293		0.00046990
23		0.2804		0.3532		0.0000		0.5459		0.00046839
24		0.2711		0.3590		0.0000		0.5585		0.00046688
25		0.2678		0.3831		0.0000		0.5230		0.00046536
26		0.2677		0.3512		0.0000		0.5369		0.00046385
27		0.2674		0.3546		0.0000		0.5486		0.00046234
28		0.2678		0.3539		0.0000		0.5451		0.00046083
29		0.2652		0.3955		0.0000		0.5233		0.00045931
30		0.2564		0.3616		0.0000		0.5444		0.00045780
31		0.2545		0.3597		0.0000		0.5608		0.00045628
32		0.2624		0.3818		0.0000		0.5427		0.00045477
33		0.2505		0.3533		0.0000		0.5735		0.00045325
34		0.2460		0.3300		0.0000		0.5928		0.00045173
35		0.2555		0.3286		0.0000		0.5797		0.00045022
