Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
114		0.1646		0.2662		0.0000		0.6049		0.00032832
115		0.1702		0.2480		0.0000		0.6214		0.00032675
116		0.1662		0.3357		0.0000		0.5397		0.00032518
117		0.1689		0.3219		0.0000		0.5356		0.00032361
118		0.1665		0.2675		0.0000		0.5952		0.00032203
119		0.1683		0.2471		0.0000		0.6351		0.00032045
120		0.1668		0.2789		0.0000		0.5898		0.00031888
121		0.1669		0.2443		0.0000		0.6399		0.00031730
122		0.1613		0.2472		0.0000		0.6391		0.00031572
123		0.1650		0.2739		0.0000		0.5979		0.00031414
124		0.1666		0.2561		0.0000		0.6140		0.00031256
125		0.1568		0.2449		0.0000		0.6521		0.00031098
126		0.1703		0.2617		0.0000		0.6093		0.00030940
127		0.1570		0.2439		0.0000		0.6448		0.00030782
128		0.1548		0.2515		0.0000		0.6475		0.00030624
129		0.1567		0.2801		0.0000		0.6131		0.00030465
130		0.1739		0.2598		0.0000		0.6238		0.00030307
131		0.1566		0.2407		0.0000		0.6588		0.00030148
132		0.1549		0.2490		0.0000		0.6473		0.00029989
133		0.1673		0.2605		0.0000		0.6201		0.00029830
134		0.1586		0.2441		0.0000		0.6247		0.00029671
135		0.1522		0.2937		0.0000		0.6037		0.00029512
136		0.1572		0.2499		0.0000		0.6336		0.00029353
137		0.1526		0.2664		0.0000		0.6084		0.00029194
138		0.1804		0.2540		0.0000		0.6222		0.00029035
139		0.1532		0.2520		0.0000		0.6356		0.00028876
140		0.1576		0.2695		0.0000		0.6044		0.00028716
141		0.1545		0.3108		0.0000		0.5693		0.00028556
142		0.1535		0.2527		0.0000		0.6213		0.00028397
143		0.1510		0.2440		0.0000		0.6418		0.00028237
144		0.1618		0.2872		0.0000		0.5891		0.00028077
145		0.1586		0.2471		0.0000		0.6323		0.00027917
146		0.1571		0.2828		0.0000		0.5923		0.00027757
147		0.1507		0.2453		0.0000		0.6477		0.00027597
148		0.1452		0.2647		0.0000		0.6175		0.00027437
149		0.1536		0.2699		0.0000		0.6118		0.00027276
150		0.1539		0.2724		0.0000		0.6280		0.00027116
151		0.1654		0.2788		0.0000		0.6063		0.00026955
152		0.1518		0.2669		0.0000		0.6144		0.00026794
153		0.1542		0.2395		0.0000		0.6470		0.00026634
154		0.1431		0.2482		0.0000		0.6287		0.00026473
155		0.1486		0.2792		0.0000		0.6154		0.00026312
156		0.1542		0.2445		0.0000		0.6409		0.00026150
157		0.1522		0.2350		0.0000		0.6581		0.00025989
158		0.1411		0.2382		0.0000		0.6567		0.00025828
159		0.1462		0.2543		0.0000		0.6245		0.00025666
160		0.1552		0.2496		0.0000		0.6450		0.00025505
161		0.1435		0.2336		0.0000		0.6601		0.00025343
162		0.1410		0.2625		0.0000		0.6043		0.00025181
163		0.1630		0.3700		0.0000		0.5231		0.00025019
164		0.1519		0.2423		0.0000		0.6345		0.00024857
165		0.1378		0.2451		0.0000		0.6386		0.00024695
166		0.1443		0.2427		0.0000		0.6435		0.00024533
167		0.1533		0.2557		0.0000		0.6297		0.00024370
168		0.1459		0.2465		0.0000		0.6461		0.00024208
169		0.1472		0.2530		0.0000		0.6531		0.00024045
170		0.1414		0.2424		0.0000		0.6529		0.00023882
171		0.1467		0.2485		0.0000		0.6447		0.00023719
172		0.1377		0.2390		0.0000		0.6593		0.00023556
173		0.1426		0.2648		0.0000		0.6117		0.00023393
174		0.1413		0.2626		0.0000		0.6482		0.00023230
175		0.1434		0.2643		0.0000		0.6333		0.00023067
176		0.1474		0.2385		0.0000		0.6496		0.00022903
177		0.1385		0.2517		0.0000		0.6503		0.00022739
178		0.1352		0.2403		0.0000		0.6445		0.00022576
179		0.1384		0.2518		0.0000		0.6459		0.00022412
180		0.1473		0.2471		0.0000		0.6309		0.00022248
181		0.1381		0.2435		0.0000		0.6517		0.00022083
182		0.1489		0.2961		0.0000		0.5856		0.00021919
183		0.1406		0.2357		0.0000		0.6556		0.00021755
184		0.1306		0.2629		0.0000		0.6445		0.00021590
185		0.1360		0.2355		0.0000		0.6409		0.00021425
186		0.1419		0.3459		0.0000		0.6183		0.00021260
187		0.1360		0.2462		0.0000		0.6604		0.00021095
188		0.1480		0.2393		0.0000		0.6519		0.00020930
189		0.1306		0.2394		0.0000		0.6473		0.00020765
190		0.1403		0.2599		0.0000		0.6373		0.00020600
191		0.1403		0.2366		0.0000		0.6689		0.00020434
192		0.1308		0.2492		0.0000		0.6584		0.00020268
193		0.1404		0.2728		0.0000		0.6121		0.00020102
194		0.1352		0.2362		0.0000		0.6527		0.00019936
195		0.1311		0.2572		0.0000		0.6188		0.00019770
196		0.1309		0.2773		0.0000		0.6119		0.00019604
197		0.1366		0.2417		0.0000		0.6487		0.00019437
198		0.1453		0.2422		0.0000		0.6417		0.00019270
199		0.1296		0.2362		0.0000		0.6593		0.00019104
200		0.1291		0.2619		0.0000		0.6233		0.00018937
201		0.1331		0.2360		0.0000		0.6626		0.00018769
202		0.1299		0.2693		0.0000		0.6411		0.00018602
203		0.1425		0.2500		0.0000		0.6585		0.00018435
204		0.1349		0.2293		0.0000		0.6712		0.00018267
205		0.1273		0.2491		0.0000		0.6377		0.00018099
206		0.1259		0.2412		0.0000		0.6583		0.00017931
207		0.1306		0.2388		0.0000		0.6449		0.00017763
208		0.1390		0.2408		0.0000		0.6628		0.00017594
209		0.1278		0.2380		0.0000		0.6603		0.00017426
210		0.1251		0.2474		0.0000		0.6620		0.00017257
211		0.1289		0.2480		0.0000		0.6431		0.00017088
212		0.1266		0.2567		0.0000		0.6602		0.00016919
213		0.1284		0.3380		0.0000		0.6324		0.00016750
214		0.1299		0.2357		0.0000		0.6736		0.00016580
215		0.1240		0.2353		0.0000		0.6717		0.00016411
216		0.1283		0.2631		0.0000		0.6391		0.00016241
217		0.1299		0.2520		0.0000		0.6463		0.00016071
218		0.1248		0.2422		0.0000		0.6606		0.00015901
219		0.1240		0.2420		0.0000		0.6593		0.00015730
220		0.1244		0.2493		0.0000		0.6620		0.00015559
221		0.1244		0.2445		0.0000		0.6581		0.00015389
222		0.1232		0.2394		0.0000		0.6712		0.00015217
223		0.1285		0.2881		0.0000		0.6218		0.00015046
224		0.1283		0.2478		0.0000		0.6674		0.00014875
225		0.1247		0.2305		0.0000		0.6747		0.00014703
226		0.1209		0.2565		0.0000		0.6385		0.00014531
227		0.1253		0.2402		0.0000		0.6491		0.00014359
228		0.1201		0.2469		0.0000		0.6578		0.00014186
229		0.1235		0.2517		0.0000		0.6557		0.00014014
230		0.1225		0.2538		0.0000		0.6644		0.00013841
231		0.1221		0.2410		0.0000		0.6613		0.00013668
232		0.1218		0.2470		0.0000		0.6631		0.00013494
233		0.1175		0.2326		0.0000		0.6746		0.00013321
234		0.1229		0.2685		0.0000		0.6353		0.00013147
235		0.1287		0.2404		0.0000		0.6679		0.00012973
236		0.1159		0.2437		0.0000		0.6625		0.00012798
237		0.1155		0.2373		0.0000		0.6758		0.00012624
238		0.1163		0.2370		0.0000		0.6729		0.00012449
